_id,abs,accidentHistory,airBags,algoliaSync,alloyWheels,appleCarPlayAndroid,attribute1,attribute2,attribute3,attribute4,attribute5,availableStatus,bhp,bluetooth,bodyColorDesc,bodyType,brand,buyNowEnabled,cd,createdAt,creationDate,cruiseControl,currentOrganizationId,currentOrganizationName,deleted,deletedAt,description,differentialLock,dvd,engineSize,engineType,exterior_color_description,fogLamps,fuelType,grade_description,imageResponse,imageUrlName,inspectReportUrl,installmentAmount,interior_color_description,inventoryItemId,itemCode,keylessEntry,kilometers,lastUpdateDate,lcvflag,leatherSeats,make_description,managersChoice,memorySeats,mileage,model,modelDesc,modelYear,modelYearNew,mp3Player,navigation,newOfferPrice,noOfDoors,noOfImages,noOfSeats,offerExpiryDate,openFlag,parkingSensors,powerOptions,rating,rearCamera,rearSpoiler,regExpDate,remoteEngineStart,reservationFlag,reservationId,reservedFlag,roofRails,saleType,sellerName,serialNumber,serviceHistory,serviceReportUrl,specialOffer_Flag,specs,stockType,subModelDesc,sunRoof,thumbnailImage,thumbnailUrlName,transmission,trim,trimColor,trimColorDesc,trimType,updatedAt,usbAux,variant,vehType,vehicleGender,vehicleLocation,vhlPrice,vin_last_5_digits,warExpDate,warrantyType,webBodyColorDesc,webBodyType,webBrand,webDescription,webModelDesc,webTrimColorDesc,xenonLights,hasOffer,offerPercentage,offerPrice,tagline,objectID,_highlightResult
46496523,Y,,Y,Updated,Y,,BMW.X1.HS71B.2022.2000.A/T.BLUE.BROWN.74665 KMS.DEALER WARRANTY.,NXT Pre Owned Cars SZR,1,,Y,Available,,Y,BLUE,SUV,BMW,,,2023-11-03T00:02:55.380Z,2023-11-01 00:00:00.0,Y,7423,,False,nan,BMW X1,Y,,  2.0 L,PETROL,BROWN,Y,PETROL,,,https://ik.imagekit.io/ct2r6oxbcn/WBA71AA03N3N27372,,2693,BLUE,46496523,UBWBA71AA03N3N27372-1,Y,,2024-07-02 01:30:31.0,,Y,BMW,Y,Y,74665,X1,X1-Series,2022,2022,,Y,,4,17,5,,N,Y,Y,,Y,,,,,,,,LUXURY,,WBA71AA03N3N27372,Y,,,UAE,,,Y,,https://ik.imagekit.io/ct2r6oxbcn/WBA71AA03N3N27372_0.jpg,A/T,,,BROWN,FABRIC,2024-07-02T20:00:16.644Z,,AWD,,SUV,NXT Pre Owned Cars SZR,164900,27372,,YES,BLUE,SUV,BMW,Bmw X1-Series,X1-SERIES,BROWN,Y,True,12.129169193450576,144899.0,SPECIAL OFFER,46496523,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Available', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'BLUE', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'BMW', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '2693', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '74665', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'X1-Series', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2022', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2022', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'WBA71AA03N3N27372', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BROWN', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '164900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '27372', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}"
46487604,Y,,,Updated,Y,,Infiniti.Q60.C3L2.2022.3000.A/T.BLUE.BLACK.15995 KMS.DEALER WARRANTY.17-AUG-2027,NXT Pre Owned Cars SZR,1,,Y,Available,,,BLUE,Coupe,Infiniti,,Y,2023-10-24T00:00:21.724Z,2023-10-14 00:00:00.0,Y,7423,,False,nan,Infiniti Q60 (Coupe),,,  3.0 L,PETROL,BLACK,Y,PETROL,,,https://ik.imagekit.io/ct2r6oxbcn/JN1EV7EK8NM560054,,2857,BLUE,46487604,UIJN1EV7EK8NM560054-2,Y,,2024-07-02 01:30:33.0,,Y,Infiniti,Y,Y,15995,Q60,Q60,2022,2022,,,,2,17,4,,N,Y,Y,,Y,,,,,,,,RETAIL,,JN1EV7EK8NM560054,Y,,,UAE,,,,,https://ik.imagekit.io/ct2r6oxbcn/JN1EV7EK8NM560054_0.jpg,A/T,,,BLACK,FABRIC,2024-07-02T20:00:16.615Z,,2WD,,Coupe,NXT Pre Owned Cars SZR,174900,60054,17-AUG-2027,YES,BLUE,COUPE,INFINITI,Infiniti Q60,Q60,BLACK,Y,True,14.29388221841052,149900.0,SPECIAL OFFER,46487604,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Available', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'BLUE', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'Coupe', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Infiniti', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '2857', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '15995', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Q60', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2022', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2022', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'JN1EV7EK8NM560054', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BLACK', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '174900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '60054', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}"
46519446,Y,,Y,Updated,Y,,Kia.SPORTAGE.GDI.2020.2400 CC.A/T.WHITE.BLACK.62283.AUTOTRUST WARRANTY.RETAIL,Used Car Dept. - Awir,1,,Y,Available,,Y,WHITE,SUV,Kia,,,2023-12-15T00:00:18.444Z,2023-12-15 00:00:00.0,Y,687,AWRNEW,False,nan,Kia Sportage,,,  2.4 L,PETROL,BLACK,Y,PETROL,,,https://ik.imagekit.io/ct2r6oxbcn/U5YPG81C9LL832279,,1289,WHITE,46519446,UKU5YPG81C9LL832279-1,Y,,2024-07-02 01:30:33.0,,,Kia,Y,,62283,SPORTAGE,Sportage,2020,2020,Y,,,5,16,5,,,Y,Y,,Y,Y,,,,,,Y,RETAIL,,U5YPG81C9LL832279,,,,UAE,,,,,https://ik.imagekit.io/ct2r6oxbcn/U5YPG81C9LL832279_0.jpg,A/T,,,BLACK,FABRIC,2024-07-02T20:00:16.910Z,Y,4WD,,SUV,Used Car Dept. - Awir,78900,32279,,YES,WHITE,SUV,KIA,Kia Sportage,SPORTAGE,BLACK,,True,12.67553865652725,68899.0,SPECIAL OFFER,46519446,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Available', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'WHITE', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Kia', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1289', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '62283', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Sportage', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2020', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2020', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'U5YPG81C9LL832279', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BLACK', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '78900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '32279', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}"
46519445,Y,,Y,Updated,Y,,Kia.SPORTAGE.GDI.2020.2400 CC.A/T.WHITE.BLACK.68235.AUTOTRUST WARRANTY.RETAIL,Used Car Dept. - Deira,1,,Y,Available,,Y,WHITE,SUV,Kia,,,2023-12-15T00:00:18.397Z,2023-12-15 00:00:00.0,Y,5925,,False,nan,Kia Sportage,,,  2.4 L,PETROL,BLACK,Y,PETROL,,,https://ik.imagekit.io/ct2r6oxbcn/U5YPG81C6LL828092,,1272,WHITE,46519445,UKU5YPG81C6LL828092-1,Y,,2024-07-02 01:30:33.0,,,Kia,Y,,68235,SPORTAGE,Sportage,2020,2020,Y,,,5,16,5,,,Y,Y,,Y,Y,,,,,,Y,RETAIL,,U5YPG81C6LL828092,,,,UAE,,,,,https://ik.imagekit.io/ct2r6oxbcn/U5YPG81C6LL828092_0.jpg,A/T,,,BLACK,FABRIC,2024-07-02T20:00:16.879Z,Y,AWD,,SUV,Used Car Dept. - Deira,77900,28092,,YES,WHITE,SUV,KIA,Kia Sportage,SPORTAGE,BLACK,,True,12.838254172015404,67899.0,SPECIAL OFFER,46519445,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Available', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'WHITE', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Kia', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1272', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '68235', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Sportage', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2020', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2020', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'U5YPG81C6LL828092', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BLACK', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '77900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '28092', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}"
46275858,Y,,,Updated,Y,,MERCEDES BENZ.S63 4 MATIC.S63  - 4MATIC.2016.4000.A/T.WHITE.RED.71250 KMS.AUTOTRUST WARRANTY.,NXT Pre Owned Cars SZR,1,,Y,Available,,,WHITE,Saloon,Mercedes Benz,,Y,2022-11-06T00:00:22.028Z,2022-10-29 00:00:00.0,Y,7423,,False,nan,Mercedes Benz S-Class,,Y,  4.0 L,PETROL,RED,Y,PETROL,,SUCCESS,https://awr.exavault.com/p/CPO_TradeAndExport/WDDUG7JB6GA246373,,4655,WHITE,46275858,UMWDDUG7JB6GA246373-1,Y,,2024-07-02 01:30:34.0,,Y,Mercedes Benz,Y,Y,71255,S63 4 MATIC,S-Class,2016,2016,,Y,,4,13,5,,N,Y,Y,,Y,,,,,,,N,LUXURY,,WDDUG7JB6GA246373,,,,UAE,,,Y,https://awr.exavault.com/p/CPO_Images/WDDUG7JB6GA246373_0.jpg,https://awr.exavault.com/p/CPO_TradeAndExport/WDDUG7JB6GA246373_0.jpg,A/T,,,RED,FABRIC,2024-07-02T20:00:16.503Z,,RWD,,Sedan,NXT Pre Owned Cars SZR,284999,46373,,YES,WHITE,SALOON,MERCEDES BENZ,Mercedes Benz S-Class,S-CLASS,RED,Y,False,nan,,MEGA SALE,46275858,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'WHITE', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'Saloon', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Mercedes Benz', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '71255', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'S-Class', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2016', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'WDDUG7JB6GA246373', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'RED', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '284999', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '46373', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Available', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '4655', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2016', 'matchLevel': 'none', 'matchedWords': []}}"
46514495,N,,,Updated,N,,PORSCHE.CAYENNE.CAYENNE.2019.3000.A/T.WHITE.TAN.18002 KMS.AUTOTRUST WARRANTY.,NXT Pre Owned Cars SZR,1,,Y,Available,,,WHITE,SUV,Porsche,,N,2023-11-25T00:00:15.295Z,2023-11-25 00:00:00.0,N,7423,,False,nan,PORSCHE Cayenne,N,N,  3.0 L,PETROL,TAN,N,PETROL,,,https://ik.imagekit.io/ct2r6oxbcn/WP1AA2AY0KDA02441,,4474,WHITE,46514495,UPWP1AA2AY0KDA02441-2,N,,2024-07-02 01:30:37.0,,N,Porsche,Y,N,18002,CAYENNE,Cayenne,2019,2019,,N,,4,17,5,,N,N,N,,N,,,,,,,N,RETAIL,,WP1AA2AY0KDA02441,N,,,UAE,,,N,,https://ik.imagekit.io/ct2r6oxbcn/WP1AA2AY0KDA02441_0.jpg,A/T,,,TAN,FABRIC,2024-07-02T20:00:16.671Z,,4WD,,SUV,NXT Pre Owned Cars SZR,273900,02441,,YES,WHITE,SUV,PORSCHE,Porsche Cayenne,CAYENNE,TAN,N,True,14.604235122307411,233899.0,SPECIAL OFFER,46514495,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Available', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'WHITE', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Porsche', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '4474', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '18002', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Cayenne', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2019', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2019', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'WP1AA2AY0KDA02441', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'TAN', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '273900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '02441', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}"
46512460,Y,,,Updated,,,Renault.DUSTER.D12.2022.1600 CC.CVT.BLUE.BEIGE.65170.DEALER WARRANTY.07-SEP-2024.RETAIL,Used Car Dept. - Awir,1,,Y,Reserved,,Y,BLUE,SUV,Renault,,,2023-11-28T00:00:16.939Z,2023-11-28 00:00:00.0,,687,AWRNEW,False,nan,Renault ,,,  1.6 L,PETROL,BEIGE,,PETROL,,,,,815,BLUE,46512460,URVF1HSRMXXNA024041-1,Y,,2024-07-02 01:30:38.0,,,Renault,Y,,65170,DUSTER,New Duster,2022,2022,Y,,,5,,5,,,,Y,,,,,,,,Y,,RETAIL,,VF1HSRMXXNA024041,,,,UAE,,,,,,CVT,,,BEIGE,FABRIC,2024-07-02T20:00:16.763Z,,2WD,,SUV,Used Car Dept. - Awir,49900,24041,07-SEP-2024,YES,BLUE,SUV,RENAULT,Renault New Duster,NEW DUSTER,BEIGE,,nan,nan,,nan,46512460,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Reserved', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'BLUE', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Renault', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '815', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '65170', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'New Duster', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2022', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2022', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'VF1HSRMXXNA024041', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BEIGE', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '49900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '24041', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}"
46512459,Y,,,Updated,,,Renault.MEGANE.MS1.2023.1600 CC.CVT.WHITE.BEIGE.5504.DEALER WARRANTY.20-NOV-2026.RETAIL,Used Car Dept. - Szr,1,,Y,Available,,Y,WHITE,Saloon,Renault,,,2023-11-28T00:00:16.966Z,2023-11-28 00:00:00.0,,1033,NSC,False,nan,Renault ,,,  1.6 L,PETROL,BEIGE,,PETROL,,,https://ik.imagekit.io/ct2r6oxbcn/VF1LRRDX3PF070211,,1142,WHITE,46512459,URVF1LRRDX3PF070211-1,Y,,2024-07-02 01:30:38.0,,,Renault,Y,,5504,MEGANE,Megane Sedan,2023,2023,Y,,,4,16,5,,,,Y,,,,,,,,,,RETAIL,,VF1LRRDX3PF070211,,,,UAE,,,,,https://ik.imagekit.io/ct2r6oxbcn/VF1LRRDX3PF070211_0.jpg,CVT,,,BEIGE,FABRIC,2024-07-02T20:00:16.789Z,,2WD,,Sedan,Used Car Dept. - Szr,69900,70211,20-NOV-2026,YES,WHITE,SALOON,RENAULT,Renault Megane Sedan,MEGANE SEDAN,BEIGE,,True,14.30615164520744,59900.0,SPECIAL OFFER,46512459,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Available', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'WHITE', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'Saloon', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Renault', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1142', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '5504', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Megane Sedan', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'VF1LRRDX3PF070211', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BEIGE', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '69900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '70211', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}"
46510459,Y,,Y,Updated,Y,,Renault.KOLEOS.K24.2023.2500 CC.CVT.WHITE.BLACK.11153.DEALER WARRANTY.10-MAR-2028.RETAIL,Used Car Dept. - Awir,1,,Y,Available,Y,Y,WHITE,SUV,Renault,,,2023-11-29T00:00:19.836Z,2023-11-29 00:00:00.0,Y,687,AWRNEW,False,nan,RENAULT Koleos,N,,  2.5 L,PETROL,BLACK,Y,PETROL,,,,,1468,WHITE,46510459,URVF1HGRND4PC383995-1,Y,,2024-07-02 01:30:38.0,,,Renault,Y,,11153,KOLEOS,Koleos,2023,2023,Y,,,5,,5,,,Y,Y,,Y,,,,,,,Y,RETAIL,,VF1HGRND4PC383995,,,,UAE,,,,,,CVT,,,BLACK,FABRIC,2024-07-02T20:00:16.838Z,,2WD,,SUV,Used Car Dept. - Awir,89900,83995,10-MAR-2028,YES,WHITE,SUV,RENAULT,Renault Koleos,KOLEOS,BLACK,Y,nan,nan,,nan,46510459,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Available', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'WHITE', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Renault', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1468', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '11153', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Koleos', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'VF1HGRND4PC383995', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BLACK', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '89900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '83995', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}"
46487279,Y,,Y,Updated,Y,,Renault.KOLEOS.K24.2023.2500 CC.CVT.BLACK.BLACK.4873.DEALER WARRANTY.01-MAY-2026.RETAIL,Used Car Dept. - Awir,1,,Y,Available,Y,Y,BLACK,SUV,Renault,,,2023-10-14T00:00:16.811Z,2023-10-06 00:00:00.0,Y,687,AWRNEW,False,nan,RENAULT Koleos,,,  2.5 L,PETROL,BLACK,,PETROL,,,https://ik.imagekit.io/ct2r6oxbcn/VF1HGRND2PC382442,,1550,BLACK,46487279,URVF1HGRND2PC382442-1,Y,,2024-07-02 01:30:38.0,,Y,Renault,Y,,4873,KOLEOS,Koleos,2023,2023,Y,Y,,5,6,5,,,Y,Y,,Y,,,,,,,Y,RETAIL,,VF1HGRND2PC382442,Y,,,UAE,,,Y,,https://ik.imagekit.io/ct2r6oxbcn/VF1HGRND2PC382442_0.jpg,CVT,,,BLACK,FABRIC,2024-07-02T20:00:16.585Z,,4WD,,SUV,Used Car Dept. - Awir,94900,82442,01-MAY-2026,YES,BLACK,SUV,RENAULT,Renault Koleos,KOLEOS,BLACK,,True,15.806111696522656,79900.0,SPECIAL OFFER,46487279,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Available', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'BLACK', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Renault', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1550', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '4873', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Koleos', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'VF1HGRND2PC382442', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BLACK', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '94900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '82442', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}"
